                                    QX( 2)  Manderfield outflow                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
          *1916   1048.    357.    631.     25.   1772.   1915.   2412.      0.      0.   1370.   2313.   1879.    13722.      610.
          *1917   2063.   1121.     73.    517.   1599.    205.    434.    718.      0.   1087.    938.    746.     9503.     3771.
          *1918    809.      0.    282.    749.    296.      0.    460.     55.   1349.    708.   1014.    593.     6315.     5912.
          *1919   1087.    188.    659.    546.      0.      0.   1970.      0.   2243.    139.    674.    563.     8068.     4941.
          *1920    670.      0.     73.      0.      0.      0.      0.      0.      0.   1313.   1582.    996.     4634.      359.
          *1921   1152.    209.      0.    720.    839.   1008.    306.      0.      0.   1574.   1864.   1779.     9450.        0.
          *1922   1165.    315.    854.    807.    528.      0.      0.      0.      0.   1438.   1864.   1379.     8349.        0.
          *1923    956.    230.    993.   1357.    943.     56.    466.      0.      0.   1737.   1661.   1179.     9578.        0.
          *1924   1092.    207.    631.   1047.   1313.      0.   1279.    114.   2395.      0.    399.      0.     8477.     6802.
          *1925    227.      0.      0.      0.      0.      0.    863.      0.   1366.   1051.   1352.   1046.     5906.     4393.
          *1926   1360.    591.   1021.    836.    735.    383.   1797.      0.   1111.    412.   1009.    630.     9884.     2099.
          *1927    722.      0.    436.    922.   1185.     41.    581.      0.   1319.    747.   1423.   1329.     8705.     4638.
          *1928   1282.   1248.   1244.   1877.   1876.   1053.    690.      0.   1107.    726.   1264.    929.    13297.     3177.
          *1929   1087.    294.    185.    662.   1012.    413.    319.      0.    356.   1004.   1388.   1695.     8413.     1606.
          *1930    943.    167.    714.    662.    320.      0.   2181.      0.   1172.    354.   1115.    913.     8541.     4448.
          *1931    916.      0.     12.    306.    542.      0.      0.   1923.   2991.      0.    163.      0.     6852.     9957.
          *1932    162.      0.      0.      0.      0.      0.    498.      0.    127.   1344.    868.    214.     3212.     4124.
          *1933    605.      0.    185.   1559.      9.      0.      0.   1238.      0.    778.   1000.    447.     5821.     5386.
          *1934    634.      0.      0.      0.      0.      0.     34.   2254.   3270.      0.     89.      0.     6281.    10639.
          *1935      0.      0.      0.      0.      9.      0.    191.    528.      0.    930.    973.    430.     3061.     4626.
          *1936    436.      0.      0.    604.    355.      0.   1624.      0.      0.   1978.   2683.   1762.     9442.      877.
          *1937   1165.    103.    519.    662.    389.      0.   1573.      0.      0.   1517.   1405.    946.     8280.        0.
          *1938    722.      0.    798.    344.     44.      0.   1362.      0.      0.   1213.   1079.    580.     6141.     2264.
          *1939    977.      0.    550.    914.    507.    377.    802.   1169.   2684.      0.    500.    385.     8865.     7999.
